date,description,amount,type,category
1 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
1 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
1 Jan 2025,Irish National Lottery,20.0,expense,Uncategorized
1 Jan 2025,Transfer from Revolut user,65.0,income,Transfer
1 Jan 2025,To pocket EUR Theo saves from EUR,110.0,income,Savings
2 Jan 2025,Transfer from RAFAELA DAVILA RODRIGUES,65.0,income,Transfer
2 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,2.8,income,Savings
2 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
2 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
2 Jan 2025,Transfer from RAFAELA DAVILA RODRIGUES,40.0,income,Transfer
2 Jan 2025,Transfer from JESSE' MORELATTO BENATO,50.0,income,Transfer
2 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
2 Jan 2025,To pocket EUR Theo saves from EUR,80.0,income,Savings
2 Jan 2025,To pocket EUR Theo saves from EUR,3.0,income,Savings
2 Jan 2025,Transfer from DANIEL PIROLLI,50.0,income,Transfer
3 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
3 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
3 Jan 2025,To pocket EUR Theo saves from EUR,25.0,income,Savings
3 Jan 2025,Circle K Gas Station,20.0,expense,Uncategorized
3 Jan 2025,Polonez,29.72,expense,Uncategorized
4 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
4 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
5 Jan 2025,Transfer from MARCELLY PEDRA REZENDE DA SILVA,45.0,income,Transfer
5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
5 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,1.3,income,Savings
5 Jan 2025,Pocket Withdrawal,4.89,expense,Savings
5 Jan 2025,Pocket Withdrawal,4.81,expense,Savings
5 Jan 2025,Transfer to Revolut Digital Assets Europe Ltd,0.37,expense,Transfer
5 Jan 2025,International Transfer to Ianara Araujo Fernandes,4.63,expense,Transfer
5 Jan 2025,Amazon,10.98,expense,Uncategorized
5 Jan 2025,Pocket Withdrawal,18.0,expense,Savings
5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,0.5,income,Savings
6 Jan 2025,To Ianara Fernandes,19.0,expense,Transfer
6 Jan 2025,Transfer from GIUSEPE TARGINO DE SOUZA,50.0,income,Transfer
6 Jan 2025,Dublin Airport Car Park,3.0,expense,Uncategorized
6 Jan 2025,My Name Tags,17.95,expense,Uncategorized
6 Jan 2025,Transfer from ANA CLAUDIA MASKE,45.0,income,Transfer
6 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
6 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
7 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
7 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
7 Jan 2025,Irish Stamp Duty,0.12,expense,Uncategorized
8 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
8 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
8 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
8 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
8 Jan 2025,Payment from DANIELE VINHAS,80.0,income,Transfer
9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
9 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,0.1,income,Savings
9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
9 Jan 2025,Gough Brothers,1.0,expense,Uncategorized
9 Jan 2025,Circle K Gas Station,20.0,expense,Uncategorized
9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
10 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
10 Jan 2025,Ryanair,5.0,expense,Uncategorized
10 Jan 2025,Coca-Cola,2.5,expense,Uncategorized
10 Jan 2025,Coca-Cola,3.0,expense,Uncategorized
10 Jan 2025,To Parking Prefeitura,5.0,expense,Transfer
10 Jan 2025,WHSmith,8.99,expense,Uncategorized
10 Jan 2025,Pocket Withdrawal,50.0,expense,Savings
10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,7.0,income,Savings
10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,2.0,income,Savings
11 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
11 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
11 Jan 2025,Quiosque Norteshop,1.3,expense,Uncategorized
11 Jan 2025,Bodegão,2.8,expense,Uncategorized
11 Jan 2025,Bodegão,4.0,expense,Uncategorized
11 Jan 2025,DrOnline,35.0,expense,Uncategorized
11 Jan 2025,Pocket Withdrawal,30.0,expense,Savings
11 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,3.0,income,Savings
12 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
12 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
12 Jan 2025,Parque Beira Rio,8.7,expense,Uncategorized
12 Jan 2025,Gaia Beira Rio,1.2,expense,Uncategorized
14 Jan 2025,PayPay,1.8,expense,Uncategorized
14 Jan 2025,Ryanair,7.5,expense,Uncategorized
16 Jan 2025,Pocket Withdrawal,30.0,expense,Savings
16 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,4.0,income,Savings
16 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
16 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
17 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
17 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
17 Jan 2025,Pocket Withdrawal,20.0,expense,Savings
17 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
17 Jan 2025,Pocket Withdrawal,40.0,expense,Savings
17 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
17 Jan 2025,areas,3.6,expense,Uncategorized
17 Jan 2025,Transfer from KARINE GATELLI D AGOSTINI,40.0,income,Transfer
17 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,2.5,income,Savings
18 Jan 2025,Junos Coffee,3.0,expense,Uncategorized
18 Jan 2025,Mbeauty,48.75,expense,Uncategorized
18 Jan 2025,Circle K Gas Station,20.0,expense,Uncategorized
18 Jan 2025,Ryanair,7.5,expense,Uncategorized
20 Jan 2025,Pocket Withdrawal,613.0,expense,Savings
21 Jan 2025,Allianz,612.71,expense,Uncategorized
22 Jan 2025,Pocket Withdrawal,40.0,expense,Savings
22 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
22 Jan 2025,Transfer from AMANDA ALESSANDRA LIMA BANFFY,120.0,income,Transfer
22 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,3.5,income,Savings
22 Jan 2025,Transfer from HELENA MIDORI CUNHA CASTRO,60.0,income,Transfer
22 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
22 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
22 Jan 2025,To pocket EUR Theo saves from EUR,140.0,income,Savings
22 Jan 2025,To pocket EUR Theo saves from EUR,3.0,income,Savings
23 Jan 2025,Pocket Withdrawal,200.0,expense,Savings
23 Jan 2025,To Ianara Fernandes,200.0,expense,Transfer
23 Jan 2025,Pocket Withdrawal,10.0,expense,Savings
23 Jan 2025,Transfer from RAFAELA DAVILA RODRIGUES,65.0,income,Transfer
23 Jan 2025,Dunnes Stores,24.65,expense,Transfer
23 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
23 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
23 Jan 2025,Circle K Gas Station,20.06,expense,Uncategorized
23 Jan 2025,Circle K Gas Station,8.5,expense,Uncategorized
24 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
24 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
24 Jan 2025,Bruno's News Agent,4.0,expense,Uncategorized
25 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
25 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
25 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,6.0,income,Savings
26 Jan 2025,Applegreen,31.4,expense,Uncategorized
28 Jan 2025,Liffey Valley parking,2.5,expense,Uncategorized
29 Jan 2025,Pocket Withdrawal,400.0,expense,Savings
29 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,6.2,income,Savings
29 Jan 2025,Pocket Withdrawal,50.0,expense,Savings
29 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
29 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
30 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
30 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
30 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,0.1,income,Savings
30 Jan 2025,Transfer to SABRINI RESENDE,30.0,expense,Transfer
30 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
31 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
31 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
31 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,2.1,income,Savings
31 Jan 2025,Circle K Gas Station,20.0,expense,Uncategorized
31 Jan 2025,Allianz,210.38,expense,Uncategorized
31 Jan 2025,Amazon Music,5.99,expense,Uncategorized
1 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
1 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
1 Feb 2025,Dunnes Stores,7.79,expense,Transfer
1 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,8.6,income,Savings
1 Feb 2025,Transfer from LIZANDRA RIBEIRO CAVALCANTE,26.0,income,Transfer
1 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.5,income,Savings
2 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
2 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
2 Feb 2025,Amazon,22.45,expense,Uncategorized
3 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
3 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
3 Feb 2025,Amazon,25.14,expense,Uncategorized
3 Feb 2025,Pocket Withdrawal,88.0,expense,Savings
3 Feb 2025,www.aerlingus.com*Dublin,78.94,expense,Uncategorized
3 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,1.8,income,Savings
4 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
4 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
4 Feb 2025,Pocket Withdrawal,60.0,expense,Savings
4 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.3,income,Savings
4 Feb 2025,Transfer from MARCELLY PEDRA REZENDE DA SILVA,45.0,income,Transfer
5 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
5 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
5 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,1.4,income,Savings
5 Feb 2025,Ryanair,58.82,expense,Uncategorized
5 Feb 2025,Dunnes Stores,56.47,expense,Transfer
5 Feb 2025,Amazon,10.86,expense,Uncategorized
6 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
6 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
6 Feb 2025,Google Pay top-up by *8687,140.0,expense,Transfer
6 Feb 2025,To pocket EUR Theo saves from EUR,140.0,income,Savings
6 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
6 Feb 2025,Pocket Withdrawal,20.0,expense,Savings
7 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
7 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
7 Feb 2025,Pocket Withdrawal,12.0,expense,Savings
7 Feb 2025,Hickey’s Pharmacy,3.0,expense,Uncategorized
7 Feb 2025,Pocket Withdrawal,150.0,expense,Savings
7 Feb 2025,Transfer to Dionata Mesquita,150.0,expense,Transfer
7 Feb 2025,Transfer from BRENDAN OHANLON,22.0,income,Transfer
8 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
8 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
8 Feb 2025,Amazon,21.22,expense,Uncategorized
8 Feb 2025,Pocket Withdrawal,11.0,expense,Savings
8 Feb 2025,Pocket Withdrawal,200.0,expense,Savings
8 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
8 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
8 Feb 2025,www.aerlingus.com*Dublin,34.94,expense,Uncategorized
8 Feb 2025,To pocket EUR Theo saves from EUR,25.0,income,Savings
9 Feb 2025,Transfer from KARINE GATELLI D AGOSTINI,40.0,income,Transfer
9 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
9 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
9 Feb 2025,Transfer from Revolut user,150.0,income,Transfer
9 Feb 2025,To pocket EUR Theo saves from EUR,180.0,income,Savings
10 Feb 2025,Transfer from Revolut user,50.0,income,Transfer
10 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
10 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
10 Feb 2025,Transfer from RAFAELA DAVILA RODRIGUES,65.0,income,Transfer
10 Feb 2025,To pocket EUR Theo saves from EUR,100.0,income,Savings
11 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
11 Feb 2025,Pocket Withdrawal,35.0,expense,Savings
11 Feb 2025,Pocket Withdrawal,25.0,expense,Savings
11 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,4.5,income,Savings
11 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,2.5,income,Savings
11 Feb 2025,Pocket Withdrawal,30.0,expense,Savings
11 Feb 2025,Ryanair,104.0,expense,Uncategorized
11 Feb 2025,Aer Lingus,40.0,expense,Uncategorized
11 Feb 2025,Pocket Withdrawal,7.6,expense,Savings
12 Feb 2025,Costa Coffee,3.55,expense,Uncategorized
12 Feb 2025,Dunnes Stores,28.52,expense,Transfer
12 Feb 2025,Irish National Lottery,10.0,expense,Uncategorized
12 Feb 2025,Mbeauty,48.75,expense,Uncategorized
12 Feb 2025,Pocket Withdrawal,40.0,expense,Savings
12 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
13 Feb 2025,Pocket Withdrawal,10.0,expense,Savings
13 Feb 2025,Savings Vault topup,2.0,expense,Savings
13 Feb 2025,Circle K Gas Station,30.0,expense,Uncategorized
13 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
13 Feb 2025,Transfer from AMANDA ALESSANDRA LIMA BANFFY,120.0,income,Transfer
14 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
14 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
14 Feb 2025,Savings Vault topup,2.0,expense,Savings
14 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,8.4,income,Savings
15 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
15 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
15 Feb 2025,Savings Vault topup,2.0,expense,Savings
15 Feb 2025,Dunnes Stores,47.16,expense,Transfer
16 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
16 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
16 Feb 2025,Savings Vault topup,2.0,expense,Savings
16 Feb 2025,Transfer from JULIANA CASSIA TAVARES DE SOUSA,55.0,income,Transfer
17 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
17 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
17 Feb 2025,Savings Vault topup,2.0,expense,Savings
17 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
17 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
17 Feb 2025,Circle K Gas Station,30.0,expense,Uncategorized
18 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
18 Feb 2025,Gough Brothers,1.0,expense,Uncategorized
18 Feb 2025,Circle K Gas Station,14.0,expense,Uncategorized
18 Feb 2025,Pocket Withdrawal,130.0,expense,Savings
18 Feb 2025,To Ianara Fernandes,130.0,expense,Transfer
18 Feb 2025,Cadden’s pharmacy,3.0,expense,Uncategorized
18 Feb 2025,Payment from LARISSA SILVA TOSTI,55.0,income,Transfer
18 Feb 2025,Savings Vault topup,2.0,expense,Savings
19 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
19 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
19 Feb 2025,Savings Vault topup,2.0,expense,Savings
19 Feb 2025,Pocket Withdrawal,40.0,expense,Savings
19 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,4.5,income,Savings
19 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
19 Feb 2025,Pocket Withdrawal,30.0,expense,Savings
19 Feb 2025,Transfer from Luana Cano Pereira,55.0,income,Transfer
19 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,9.6,income,Savings
19 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
20 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
20 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
20 Feb 2025,Savings Vault topup,2.0,expense,Savings
20 Feb 2025,D Nail,45.0,expense,Uncategorized
20 Feb 2025,Circle K Gas Station,30.0,expense,Uncategorized
20 Feb 2025,Costa Coffee,3.55,expense,Uncategorized
20 Feb 2025,Dunnes Stores,24.04,expense,Transfer
21 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
21 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
21 Feb 2025,Savings Vault topup,2.0,expense,Savings
21 Feb 2025,Pocket Withdrawal,35.0,expense,Savings
21 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,7.5,income,Savings
22 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
22 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
22 Feb 2025,Transfer from TASSO TIRAPANI SILVA PINTO,45.0,income,Transfer
22 Feb 2025,Savings Vault topup,2.0,expense,Savings
22 Feb 2025,Cadden’s pharmacy,21.25,expense,Uncategorized
22 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
22 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,4.5,income,Savings
23 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
23 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
23 Feb 2025,Savings Vault topup,2.0,expense,Savings
23 Feb 2025,Dunnes Stores,5.55,expense,Transfer
23 Feb 2025,Boots,1.5,expense,Uncategorized
23 Feb 2025,Pocket Withdrawal,100.0,expense,Savings
23 Feb 2025,To Ianara Fernandes,100.0,expense,Transfer
24 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
24 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
24 Feb 2025,Savings Vault topup,2.0,expense,Savings
25 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
26 Feb 2025,Pocket Withdrawal,30.0,expense,Savings
26 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
26 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
26 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
26 Feb 2025,Payment from LARISSA SILVA TOSTI,55.0,income,Transfer
26 Feb 2025,Savings Vault topup,2.0,expense,Savings
27 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
27 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
27 Feb 2025,Savings Vault topup,2.0,expense,Savings
27 Feb 2025,Pocket Withdrawal,10.0,expense,Savings
27 Feb 2025,Circle K Gas Station,13.5,expense,Uncategorized
28 Feb 2025,Pocket Withdrawal,240.0,expense,Savings
28 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
28 Feb 2025,Pocket Withdrawal,10.0,expense,Savings
28 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
28 Feb 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
28 Feb 2025,Savings Vault topup,2.0,expense,Savings
1 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
1 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
1 Mar 2025,Transfer from JESSE' MORELATTO BENATO,50.0,income,Transfer
1 Mar 2025,Savings Vault topup,2.0,expense,Savings
1 Mar 2025,Circle K Gas Station,20.0,expense,Uncategorized
1 Mar 2025,Motor Tax Online,53.0,expense,Transfer
2 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
2 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
2 Mar 2025,Savings Vault topup,2.0,expense,Savings
3 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
3 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
3 Mar 2025,Savings Vault topup,2.0,expense,Savings
3 Mar 2025,Pocket Withdrawal,15.0,expense,Savings
4 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
4 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
4 Mar 2025,Savings Vault topup,2.0,expense,Savings
4 Mar 2025,Transfer from Revolut user,50.0,income,Transfer
4 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,6.7,income,Savings
5 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
5 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
5 Mar 2025,Savings Vault topup,2.0,expense,Savings
5 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,1.7,income,Savings
5 Mar 2025,Allianz,210.33,expense,Uncategorized
6 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
6 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
6 Mar 2025,Savings Vault topup,2.0,expense,Savings
6 Mar 2025,Amazon,10.83,expense,Uncategorized
7 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
7 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
7 Mar 2025,Savings Vault topup,2.0,expense,Savings
8 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
8 Mar 2025,Savings Vault topup,2.0,expense,Savings
9 Mar 2025,Savings Vault topup,2.0,expense,Savings
10 Mar 2025,Transfer from BIANCA DA SILVA MACHADO,80.0,income,Transfer
10 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
10 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
10 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
10 Mar 2025,Savings Vault topup,2.0,expense,Savings
10 Mar 2025,www.aerlingus.com*Dublin,16.99,expense,Uncategorized
10 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
11 Mar 2025,Pocket Withdrawal,77.0,expense,Savings
11 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,8.0,income,Savings
11 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,1.0,income,Savings
11 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,9.0,income,Savings
11 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
11 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
11 Mar 2025,Savings Vault topup,2.0,expense,Savings
11 Mar 2025,Dublin Airport,10.0,expense,Uncategorized
11 Mar 2025,Circle K Gas Station,20.0,expense,Uncategorized
11 Mar 2025,Pocket Withdrawal,23.0,expense,Savings
11 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,1.5,income,Savings
11 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
11 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
11 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,1.5,income,Savings
11 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.5,income,Savings
12 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
12 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
12 Mar 2025,Savings Vault topup,2.0,expense,Savings
12 Mar 2025,Bolt,3.5,expense,Uncategorized
12 Mar 2025,Phoenix Labs,7.1,expense,Uncategorized
12 Mar 2025,Bolt,4.45,expense,Uncategorized
12 Mar 2025,Bolt,3.85,expense,Uncategorized
12 Mar 2025,Bolt,3.85,expense,Uncategorized
12 Mar 2025,Coca-Cola,2.2,expense,Uncategorized
12 Mar 2025,Coca-Cola,2.9,expense,Uncategorized
12 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,8.5,income,Savings
13 Mar 2025,Retail inMotion,3.15,expense,Uncategorized
14 Mar 2025,Pocket Withdrawal,30.0,expense,Savings
14 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
15 Mar 2025,Circle K Gas Station,25.01,expense,Uncategorized
15 Mar 2025,Transfer from ALLANA BRUNA BONINSENHA,55.0,income,Transfer
15 Mar 2025,Savings Vault topup,2.0,expense,Savings
15 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
15 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
16 Mar 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
16 Mar 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
16 Mar 2025,Savings Vault topup,2.0,expense,Savings
16 Mar 2025,Pocket Withdrawal,17.0,expense,Savings
16 Mar 2025,Pocket Withdrawal,5.0,expense,Savings
16 Mar 2025,To Ianara Fernandes,54.0,expense,Transfer
18 Mar 2025,Pocket Withdrawal,60.0,expense,Savings
